substituent,Name,Smiles_Pattern,Smarts_Pattern,Sigma_m,Sigma_P,F_b,R_c
CH(Me)Et,-0.08,-0.12,-0.02,-0.10
CH2CH(Me)2,-0.07,-0.12,-0.01,-0.11
(CH2)3CH3,-0.08,-0.16,-0.01,M).15
0(CH2)3CH3,0.10,-0.32,0.29,-0.61
CH2C(OH)Me2,-6.16,-0.17,-0.11,-0.06
C(OMe)3,-0.03,-0.04,0.01,-0.05
AsEt^,0.22,0.00,0.32,-0.32
AsiOJEt^,0.57,0.44,0.60,-0.16
AsiSJE^,0.52,0.44,0.54,-0.10
NH(CH2)3CH3,-0.34,-0.51,-0.21,-0.30
N(Et)2,-0.23,-0.72,0.01,-0.73
PO(Et)2,0.37,0.47,0.33,0.14
N=NPO(OEt)2,(0.16),0.74,(-0.05),(0.79)
PO(OEt)2,0.55,0.60,0.52,0.08
P(Et)2,0.10,0.13,0.11,0.02
P(S)Et2,0.39,0.46,0.36,0.10
CH2N(Me)3+,0.40,0.44,0.38,0.06
CH2CH2NH(Me)2+,0.24,0.14,0.29,-0.15
CH2OSi(CH3)3,-0.04,-0.05,0.00,-0.05
CH2Si(Me)3,-0.16,-0.21,-0.09,-0.12
PO(N(Me)2)2,0.30,0.40,0.27,0.13
P(N(Me)2)2,0.18,0.25,0.17,0.08
2-(methylcarbonyl)carboran-l-yl,0.40,0.63,0.31,0.32
2-[(carbonyloxy)methyl]carboran-l-yl,0.70,0.74,0.66,0.08
"CH2-l-(l,2-(BH)10-C2Me)",0.10,0.11,0.12,-0.01
C(CN)=C(CN)2,0.77,0.98,0.65,0.33
2-(5-cyanofuryl),0.25,0.10,0.32,-0.22
2-(5-formylfuryl),0.22,-0.05,0.34,-0.39
2-pyridyl,0.33,0.17,0.40,-0.23
3-pyridyl,0.23,0.25,0.24,0.01
4-pyridyl,0.27,0.44,0.21,0.23
"2-(4,6-dimethyl-s-triazinyl)",0.25,0.39,0.21,0.18
1-cyclopentenyl,-0.06,-0.05,-0.03,-0.02
CH=CHCOOEt,0.19,0.03,0.27,-0.24
cyclopentyl,-0.05,-0.14,0.02,-0.16
COC(Me)3,0.27,0.32,0.26,0.06
NHC02(CH2)3CH3,0.06,-0.05,0.13,-0.18
C(Et)(Me)2,-0.06,-0.18,0.03,-0.21
CH2C(Me)3,-0.05,-0.17,0.03,-0.14
(CH2)4CH3,-0.08,-0.15,-0.01,-0.14
0(CH2)4CH3,0.10,(-0.34),0.29,(-0.63)
CH2PO(OEt)2,0.12,0.06,0.17,-0.11
CH2CH2N(Me)3+,0.16,0.13,0.19,-0.06
CH2CH2Si(Me)3,-0.16,-0.17,-0.11,-0.06
Si(Me)2OSi(Me)3,0.00,-0.01,0.04,-0.05
CeCls,0.25,0.24,0.27,-0.03
C6F6,0.26,0.27,0.27,0.00
P(0)(C3Fv)2,0.95,1.10,0.84,0.26
0P(0)(C3F7)2,0.66,0.56,0.67,-0.11
NHP(0)(C3F7)2,0.28,0.18,0.33,-0.15
CH2Co(CN)63-,-0.53,-0.68,-0.39,-0.29
CH2Mn(CO)6,-0.14,-0.44,0.02,-0.46
"C6H2-2,4,6-(N02)3",0.26,0.30,0.26,0.04
C6H4-3-Br,0.09,0.08,0.12,-0.04
C6H4-4-Br,0.15,0.12,0.18,-0.06
C6H4-3-Cl,0.15,0.10,0.19,-0.09
C6H4-4-Cl,0.15,0.12,0.18,-0.06
C6H4-3-F,0.15,0.10,0.19,-0.09
C6H4-4-F,0.12,0.06,0.17,-0.11
OC6H4-4-F,-0.08,-0.10,-0.03,-0.07
C6H4-3-I,0.13,0.06,0.18,-0.12
C6H4-4-I,0.14,0.10,0.18,-0.08
C6H4-3-N02,0.21,0.20,0.23,-0.03
C6H4-4-N02,0.25,0.26,0.26,0.00
SC6H4-4-N02,0.32,0.24,0.36,-0.12
S0C6H4-4-N02,0.58,0.60,0.55,0.05
2-benzotriazolyl,0.49,0.51,0.47,0.04
c6h6,0.06,-0.01,0.12,-0.13
N(0)=NS02C6H6,0.69,0.79,0.62,0.17
n=nc6h5,0.32,0.39,0.30,0.09
oc6h6,0.25,-0.03,0.37,-0.40
SOc6h6,0.50,0.44,0.51,-0.07
2-(5-acetylfuryl),0.24,0.08,0.31,-0.23
2-(6-methylpyronyl),0.38,0.43,0.36,0.07
SO2c6h5,0.62,0.68,0.58,0.10
oSO2c6h6,0.36,0.33,0.37,-0.04
sc6h6,0.23,0.07,0.30,-0.23
NHc6h6,-0.02,-0.56,0.22,-0.78
hnSO2c6h5,0.16,0.01,0.24,-0.23
SO2NHc6h6,0.56,0.65,0.51,0.14
2-(5-ethylfuryl),0.09,-0.13,0.20,-0.33
"l-(2,5-dimethylpyrryl)",0.49,0.38,0.52,-0.14
1-cyclohexenyl,-0.10,-0.08,-0.07,-0.01
cyclohexyl,-0.05,-0.15,0.03,-0.18
N(C3H7)2,-0.26,-0.93,0.06,-0.99
(CH2)4NMe2,-0.08,-0.16,-0.01,-0.15
PO(isopropyl)2,0.37,0.41,0.36,0.05
P(isopropyl)2,0.02,0.06,0.04,0.02
P(0)(OPr)2,0.38,0.50,0.33,0.17
Ge(Et)3,0.00,0.00,0.03,-0.03
(CH2)3N(Me)3+,0.06,-0.01,0.12,-0.13
Si(OEt)3,0.02,0.08,0.03,0.05
P(Et)3+,0.99,0.98,0.94,0.04
Sn(Et)3,0.00,0.00,0.03,-0.03
P(=NS02CF3)(C3F7)2,1.24,1.37,1.11,0.26
Si(NMe2)3,-0.04,-0.04,0.00,-0.04
